t 1.356074, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.360498, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.364218, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.368639, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.372441, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.376414, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.380331, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.384278, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.388519, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.392475, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.396122, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.400418, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.40441, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.408378, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.412462, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.416521, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.420406, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.424463, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.428155, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.432148, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.436116, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.440116, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.444249, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.448364, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.452362, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.456152, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.460206, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.46415, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.468212, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.472138, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.476376, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.480206, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.484229, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.488157, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.49225, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
