t 1.022532, x -1.087815, y -3.66191, z 49.85386, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.026662, x -1.087674, y -3.748936, z 49.84739, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.030649, x -1.087674, y -3.748936, z 49.84739, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.034646, x -1.087674, y -3.748936, z 49.84739, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.03889, x -1.087602, y -3.792445, z 49.8441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.0425, x -1.087602, y -3.792445, z 49.8441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.046461, x -1.087602, y -3.792445, z 49.8441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.050657, x -1.087602, y -3.792445, z 49.8441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.054595, x -1.087602, y -3.792445, z 49.8441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.058657, x -1.087602, y -3.792445, z 49.8441, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.062741, x -1.08753, y -3.835952, z 49.84077, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.0667, x -1.08753, y -3.835952, z 49.84077, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.070482, x -1.08753, y -3.835952, z 49.84077, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.074453, x -1.087456, y -3.879455, z 49.83741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.07861, x -1.087456, y -3.879455, z 49.83741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.082742, x -1.087456, y -3.879455, z 49.83741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.086592, x -1.087456, y -3.879455, z 49.83741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.090747, x -1.087456, y -3.879455, z 49.83741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.094678, x -1.087382, y -3.922956, z 49.834, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.098669, x -1.087382, y -3.922956, z 49.834, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.102705, x -1.087382, y -3.922956, z 49.834, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.106754, x -1.043893, y -3.922956, z 49.83493, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.110662, x -1.043893, y -3.922956, z 49.83493, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.114619, x -1.043893, y -3.922956, z 49.83493, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.118568, x -1.000265, y -4.009947, z 49.82891, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.122717, x -1.000265, y -4.009947, z 49.82891, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.126415, x -1.000265, y -4.009947, z 49.82891, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.130719, x -1.000194, y -4.053438, z 49.82539, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.134776, x -1.000194, y -4.053438, z 49.82539, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.138894, x -0.9565756, y -4.140411, z 49.81909, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.142674, x -0.912966, y -4.227371, z 49.81261, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.146674, x -0.912966, y -4.227371, z 49.81261, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.150638, x -0.8693661, y -4.314319, z 49.80593, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.154692, x -0.8693661, y -4.314319, z 49.80593, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.158624, x -0.8693661, y -4.314319, z 49.80593, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.162677, x -0.8257117, y -4.444715, z 49.79521, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.166602, x -0.8257117, y -4.444715, z 49.79521, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.170565, x -0.8257117, y -4.444715, z 49.79521, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.174703, x -0.7822569, y -4.444716, z 49.79591, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.178678, x -0.7822569, y -4.444716, z 49.79591, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.182653, x -0.7822569, y -4.444716, z 49.79591, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.186611, x -0.7386262, y -4.575081, z 49.78477, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.190825, x -0.7386262, y -4.575081, z 49.78477, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.194465, x -0.6950679, y -4.661975, z 49.77733, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.198903, x -0.6515214, y -4.748854, z 49.76971, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.202578, x -0.6515214, y -4.748854, z 49.76971, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.21082, x -0.6514668, y -4.792288, z 49.76554, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.218885, x -0.6079348, y -4.879145, z 49.75766, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.226572, x -0.6079348, y -4.879145, z 49.75766, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.230628, x -0.564366, y -5.009403, z 49.74522, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.234512, x -0.564366, y -5.009403, z 49.74522, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.239147, x -0.564366, y -5.009403, z 49.74522, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.242756, x -0.4774158, y -5.139627, z 49.73285, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.246601, x -0.4774158, y -5.139627, z 49.73285, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.250822, x -0.4338563, y -5.313204, z 49.715, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.254712, x -0.3903236, y -5.486716, z 49.69651, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.25849, x -0.3903236, y -5.486716, z 49.69651, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.263047, x -0.3469215, y -5.530084, z 49.69203, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.266367, x -0.3469215, y -5.530084, z 49.69203, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.27072, x -0.3469215, y -5.530084, z 49.69203, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.274537, x -0.3034372, y -5.703512, z 49.67271, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
