t, stimulusOn
2.270228, 2021-06-09T17:17:48.3635420+08:00, False
2.274956, 2021-06-09T17:17:48.3682860+08:00, False
2.278275, 2021-06-09T17:17:48.3715890+08:00, False
2.282286, 2021-06-09T17:17:48.3758970+08:00, False
2.286081, 2021-06-09T17:17:48.3793980+08:00, False
2.290254, 2021-06-09T17:17:48.3835840+08:00, False
2.294168, 2021-06-09T17:17:48.3875010+08:00, False
2.298215, 2021-06-09T17:17:48.3915440+08:00, False
2.302175, 2021-06-09T17:17:48.3957550+08:00, False
2.30656, 2021-06-09T17:17:48.3998850+08:00, False
2.310116, 2021-06-09T17:17:48.4034390+08:00, False
2.314327, 2021-06-09T17:17:48.4076500+08:00, False
2.318314, 2021-06-09T17:17:48.4116830+08:00, False
2.323102, 2021-06-09T17:17:48.4167720+08:00, False
2.330548, 2021-06-09T17:17:48.4239120+08:00, False
2.334087, 2021-06-09T17:17:48.4274100+08:00, False
2.338222, 2021-06-09T17:17:48.4315470+08:00, False
2.342102, 2021-06-09T17:17:48.4357070+08:00, False
2.346356, 2021-06-09T17:17:48.4397080+08:00, False
2.350136, 2021-06-09T17:17:48.4434600+08:00, False
2.354272, 2021-06-09T17:17:48.4476180+08:00, False
2.358282, 2021-06-09T17:17:48.4516430+08:00, False
2.362672, 2021-06-09T17:17:48.4563120+08:00, False
2.366396, 2021-06-09T17:17:48.4597440+08:00, False
2.370354, 2021-06-09T17:17:48.4637660+08:00, False
2.375225, 2021-06-09T17:17:48.4685780+08:00, False
2.382484, 2021-06-09T17:17:48.4761040+08:00, False
2.386052, 2021-06-09T17:17:48.4793740+08:00, False
2.390237, 2021-06-09T17:17:48.4835670+08:00, False
2.398252, 2021-06-09T17:17:48.4915820+08:00, False
2.402369, 2021-06-09T17:17:48.4959860+08:00, False
2.410475, 2021-06-09T17:17:48.5038410+08:00, False
2.414058, 2021-06-09T17:17:48.5073890+08:00, False
2.418245, 2021-06-09T17:17:48.5115460+08:00, False
2.422211, 2021-06-09T17:17:48.5158310+08:00, False
2.426181, 2021-06-09T17:17:48.5195590+08:00, False
2.430317, 2021-06-09T17:17:48.5236520+08:00, False
2.434171, 2021-06-09T17:17:48.5274710+08:00, False
2.438645, 2021-06-09T17:17:48.5319800+08:00, False
2.442587, 2021-06-09T17:17:48.5361520+08:00, False
2.44613, 2021-06-09T17:17:48.5394160+08:00, False
