t, stimulusOn
10.41193, False
10.41589, False
10.41989, False
10.42811, False
10.43173, False
10.43584, False
10.43982, False
10.44491, False
10.44979, False
10.45587, False
10.46133, False
10.468, False
10.47246, False
10.47986, False
10.48424, False
10.48997, False
10.4961, False
10.50004, False
10.50581, False
10.51243, False
10.5203, False
10.52816, False
10.53173, False
10.53596, False
10.53994, False
10.54603, False
10.55209, False
10.55621, False
10.56264, False
10.56823, False
10.57419, False
10.58063, False
10.58548, False
10.5918, False
10.5968, False
10.60165, False
10.60776, False
10.61261, False
10.62024, False
10.62777, False
10.63169, False
10.63588, False
10.64124, False
10.64798, False
10.65295, False
10.65794, False
10.66431, False
10.67259, True
10.67981, True
10.68381, True
10.68782, True
10.6927, True
10.69797, True
10.70379, True
10.70873, True
10.71632, True
10.72412, True
10.7282, True
10.73294, True
10.73834, True
10.74401, True
10.74956, True
10.7558, True
10.76004, True
10.76579, True
10.77264, False
10.78005, False
10.78393, False
10.78896, False
10.79414, False
10.79978, False
10.80474, False
10.81009, False
10.81643, False
10.82437, False
10.82834, False
10.83388, False
10.83985, False
10.84418, False
10.85004, False
10.85583, False
10.86102, False
10.86821, False
10.87596, False
10.88004, False
10.88441, False
10.89023, False
10.89576, False
10.90047, False
10.90571, False
10.91202, False
10.92036, False
10.9279, False
10.93166, False
10.93582, False
10.94021, False
10.94618, False
10.95203, False
10.957, False
10.96327, False
10.96877, False
10.97586, False
10.98163, False
10.98811, False
10.99184, False
10.99766, False
11.00373, False
11.00786, False
11.0143, False
11.02086, False
11.02809, False
11.032, False
11.03696, False
11.04374, False
11.04895, False
11.05389, False
11.05971, False
11.06465, False
11.0724, False
11.0798, False
11.084, False
11.08786, False
11.11195, False
11.11594, False
11.12414, False
11.13202, False
11.13573, False
11.13973, False
11.14376, False
11.1478, False
11.1517, False
11.15566, False
11.15991, False
11.16403, False
11.17206, False
11.17623, False
11.17971, False
11.18394, False
11.18809, False
11.19404, False
11.1999, False
11.20439, False
11.21057, False
11.21614, False
11.22199, False
11.22887, False
11.23368, False
11.23981, False
11.24437, False
11.24977, False
11.25598, False
11.26035, False
11.26828, False
11.2759, False
11.27986, False
11.28448, False
11.28979, False
11.29582, False
11.30097, False
11.30796, False
11.31262, False
11.32029, False
11.32777, False
11.3318, False
11.33632, False
11.34118, False
11.34793, False
11.35235, False
11.35733, False
11.36406, False
11.36954, False
11.37613, False
11.38146, False
11.3883, False
11.39243, False
11.40013, False
11.40409, False
11.40916, False
11.41625, False
11.42017, False
11.42841, False
11.43585, False
11.44099, False
11.44811, False
11.45186, False
11.45587, False
11.46167, False
11.46811, False
11.47409, False
11.48021, False
11.48536, False
11.4918, False
11.49644, False
11.50264, False
11.50864, False
11.51418, False
11.52023, False
11.52785, False
11.53214, False
11.5382, False
11.54392, False
11.54948, False
11.55578, False
11.56078, False
11.56842, False
11.57607, False
11.58054, False
11.58635, False
11.59199, False
11.59976, True
11.60404, True
11.6097, True
11.6162, True
11.62063, True
11.62817, True
11.63342, True
11.6398, True
11.6453, True
11.65227, True
11.65653, True
11.66148, True
11.66831, True
11.67593, True
11.68045, True
11.68567, True
11.69206, True
11.69813, False
11.70422, False
11.7089, False
11.716, False
11.72072, False
11.72854, False
11.73342, False
11.74006, False
11.74509, False
11.75014, False
11.7562, False
11.76145, False
11.76849, False
11.77601, False
11.78027, False
11.78576, False
11.79193, False
11.79822, False
11.80405, False
11.8093, False
11.81616, False
11.82038, False
11.8283, False
11.83353, False
11.83978, False
11.84392, False
11.84932, False
11.85596, False
11.87457, False
11.88186, True
11.88794, True
11.89234, True
